semester,order,deadline,sum_method
3,1,2014-10-20 20:00:00+02:00,
3,2,2014-11-24 21:00:00+01:00,
4,1,2007-10-14 22:00:00+02:00,
4,2,2007-11-18 23:00:00+01:00,
5,1,2008-03-05 23:00:00+01:00,
5,2,2008-04-20 22:00:00+02:00,
6,1,2008-10-26 23:00:00+01:00,
6,2,2008-11-23 23:00:00+01:00,
7,1,2009-03-15 23:00:00+01:00,
7,2,2009-04-19 22:00:00+02:00,
8,1,2009-10-19 21:59:00+02:00,
8,2,2009-11-16 22:59:00+01:00,
9,1,2010-03-15 22:59:00+01:00,
9,2,2010-04-19 21:59:00+02:00,
10,1,2010-11-30 23:00:00+01:00,
10,2,2010-11-30 23:00:00+01:00,
11,1,2011-06-30 22:00:00+02:00,
11,2,2011-06-30 22:00:00+02:00,
12,1,2011-10-24 20:00:00+02:00,
12,2,2011-11-21 21:00:00+01:00,
13,1,2012-06-30 22:00:00+02:00,
13,2,2012-06-30 22:00:00+02:00,
14,1,2012-10-15 20:00:00+02:00,
14,2,2012-11-26 21:00:00+01:00,
15,1,2013-03-25 21:00:00+01:00,
15,2,2013-04-29 20:00:00+02:00,
16,1,2013-11-30 23:00:00+01:00,
16,2,2013-11-30 23:00:00+01:00,
17,1,2014-06-30 22:00:00+02:00,
17,2,2014-06-30 22:00:00+02:00,
18,1,2015-03-30 21:59:59+02:00,
18,2,2015-04-27 21:59:59+02:00,
20,1,2015-10-12 20:00:00+02:00,
20,2,2015-11-16 21:00:00+01:00,
21,1,2015-10-12 18:00:00+02:00,
21,2,2015-11-23 19:00:00+01:00,
19,1,2015-10-12 18:00:00+02:00,
19,2,2015-11-23 19:00:00+01:00,
22,1,2016-03-21 19:00:00+01:00,
22,2,2016-04-25 18:00:00+02:00,
23,1,2016-03-21 19:00:00+01:00,
23,2,2016-04-25 18:00:00+02:00,
24,1,2016-03-21 21:00:00+01:00,
24,2,2016-05-02 20:00:00+02:00,
25,1,2016-10-10 20:00:00+02:00,
25,2,2016-11-21 21:00:00+01:00,
26,1,2016-10-17 18:00:00+02:00,
26,2,2016-11-28 19:00:00+01:00,
27,1,2016-10-10 18:00:00+02:00,
27,2,2016-11-14 19:00:00+01:00,
28,1,2017-03-20 19:00:00+01:00,
29,1,2017-03-20 19:00:00+01:00,
29,2,2017-05-02 18:00:00+02:00,
28,2,2017-05-02 18:00:00+02:00,
30,2,2017-05-09 20:00:00+02:00,
30,1,2017-03-27 20:00:00+02:00,
31,1,2017-10-23 18:00:00+02:00,
31,2,2017-11-27 19:00:00+01:00,
32,1,2017-10-23 18:00:00+02:00,
32,2,2017-11-27 19:00:00+01:00,
33,1,2017-10-23 20:30:00+02:00,
33,2,2017-11-20 21:00:00+01:00,
34,1,2018-03-19 21:00:00+01:00,
34,2,2018-05-07 20:00:00+02:00,
35,1,2018-03-26 18:00:00+02:00,
35,2,2018-04-30 18:00:00+02:00,
36,1,2018-03-26 18:00:00+02:00,
36,2,2018-04-30 18:00:00+02:00,
37,1,2018-10-22 18:00:00+02:00,
37,2,2018-11-26 19:00:00+01:00,
38,1,2018-10-22 18:00:00+02:00,
38,2,2018-11-26 19:00:00+01:00,
39,1,2018-10-29 21:00:00+01:00,
39,2,2018-12-03 21:00:00+01:00,
40,1,2019-03-25 19:00:00+01:00,
40,2,2019-04-29 18:00:00+02:00,
41,1,2019-03-25 19:00:00+01:00,
41,2,2019-04-29 18:00:00+02:00,
42,3,2019-03-18 21:00:00+01:00,
42,4,2019-04-24 20:00:00+02:00,
43,1,2019-10-21 18:00:00+02:00,
43,2,2019-11-25 19:00:00+01:00,
44,1,2019-10-21 18:00:00+02:00,
44,2,2019-11-25 19:00:00+01:00,
45,1,2019-10-28 21:00:00+01:00,
45,2,2019-12-02 21:00:00+01:00,
46,1,2020-04-06 18:00:00+02:00,
47,1,2020-03-30 21:59:00+02:00,
47,2,2020-04-27 20:00:00+02:00,
48,1,2020-04-06 18:00:00+02:00,
48,2,2020-05-04 18:00:00+02:00,
46,2,2020-05-04 18:00:00+02:00,
49,1,2020-10-19 18:00:00+02:00,
50,1,2020-10-19 18:00:00+02:00,
49,2,2020-11-23 19:00:00+01:00,
50,2,2020-11-23 19:00:00+01:00,
