1;Gymnázium Poštová 9;Poštová 9;Košice;042 52;160997;160997;Gymnázium;GPost9KE;Poštová 9;Košice-Staré Mesto;04252;skola@gympos.sk;802
2;Fakulta matematiky, fyziky a informatiky Univerzity Komenského;Mlynská dolina;Bratislava;842 48;None;;;;;;;;
3;Univerzita Pavla Jozefa Šafárika v Košiciach, Prírodovedecká fakulta;Šrobárova 2;Košice;041 54;None;;;;;;;;
4;Gymnázium Bilíkova 24;Bilíkova 24;Bratislava;844 19;605751;605751;Gymnázium;GBil24BA;Bilíkova 24;Bratislava-Dúbravka;84419;gymbil@gymbilba.sk;104
5;Gymnázium Alejová 1;Alejová 1;Košice;041 49;598071;598071;Gymnázium;GAlej1KE;Alejová 1;Košice-Juh;04149;gymnazium.alejova@galeje.sk;805
6;Gymnázium tř. kpt. Jaroše 14;třída Kapitána Jaroše 14;Brno;658 70;None;;;;;;;;
7;Gymnázium T. G. Masaryka 1260;Nám. T. G. Masaryka 1260;Frýdlant nad Ostravicí;739 11;None;;;;;;;;
8;Stredná premyselná škola elektrotechnická Plzenská 1;Plzenská 1;Prešov;080 01;None;;;;;;;;
9;Fakulta Informatiky Masarykovej Univerzity;Botanická 68A;Brno;602 00;None;;;;;;;;
10;Univerzita Karlova, Matematicko-fyzikální fakulta ;Ke Karlovu 3;Praha;121 16;None;;;;;;;;
11;Gymnázium sv. Moniky;Tarasa Ševčenka 1;Prešov;080 01;31991653;31991653;Gymnázium sv. Moniky;GTara1PO;Tarasa Ševčenka 1;Prešov;08001;gymonika@gymonika.sk;707
12;Gymnázium Tajovského 25;Tajovského 25;Banská Bystrica;97401;None;;;;;;;;
14;Gymnázium Javorová 16;Javorová 16;Spišská Nová Ves;052 01;17151589;17151589;Gymnázium;GJav16SN;Javorová 16;Spišská Nová Ves;05201;skola@gjavsnv.edu.sk;810
15;Gymnázium Kukučínova 1;Kukučínova 4239/1;Poprad;058 01;161098;161098;Gymnázium;GKuku1PP;Kukučínova 4239/1;Poprad;05839;sekretariat@gym-pp.vucpo.sk;706
16;Gymnázium J. A. Raymana;Mudroňova 20;Prešov;080 01;161101;161101;Gymnázium J. A. Raymana;GMud20PO;Mudroňova 20;Prešov;08001;info@gjar-po.sk;707
17;Gymnázium Jura Hronca;Novohradská 3;Bratislava;821 09;None;;;;;;;;
18;Gymnázium Jozefa Gregora Tajovského;Tajovského 25;Banská Bystrica;974 01;None;;;;;;;;
19;Gymnázium Párovská 1;Párovská 1;Nitra;949 01;160253;160253;Gymnázium;GParo1NR;Párovská 1;Nitra;95050;school@gpnr.sk;403
20;Cirkevná základná škola sv. Ľudmily;Zámecká 57;Hradec nad Moravicí;747 41;None;;;;;;;;
21;Gymnázium bl. P. P. Gojdiča Bernolákova 21;Bernolákova 21;Prešov;080 01;37938797;37938797;Gymnázium P. P. Gojdiča;GBer21PO;Bernolákova 21;Prešov;08001;riaditel@gojdic.eu;707
22;Evanjelické gymnázium J.A. Komenského ;Škultétyho 10;Košice;040 01;31305288;31305288;Evanjelické gymnázium;ESku10KE;Škultétyho 10;Košice-Staré Mesto;04001;egjak@egjak.com;802
23;Mendelovo gymnázium Komenského 5;Komenského 5;Opava;746 01;None;;;;;;;;
24;Gymnázium Smetanův okruh 2;Smetanův okruh 2;Krnov;794 01;None;;;;;;;;
25;Gymnázium a základná škola S. Máraiho s vjm;Kuzmányho 6;Košice;040 01;161004;161004;Gymnázium a ZŠ s VJM;GKuzm6KE;Kuzmányho 6;Košice-Staré Mesto;04174;skola@maraigimi.sk;802
26;Gymnázium Tyršovo nám. 970;Tyršovo nám. 970;Česká Třebová;560 02;None;;;;;;;;
27;Gymnázium Jírovcova 8;Jírovcova 8;České Budějovice;371 61;None;;;;;;;;
28;Gymnázium M.R. Štefánika Nám. L. Novomeského 4;Nám. L. Novomeského 4;Košice;040 01;160971;160971;Gymnázium M.R.Štefánika;GNamL4KE;Nám. L. Novomeského 4;Košice-Staré Mesto;04224;skola@gmrske.sk;802
29;Slezské gymnázium;Zámecký okruh 29;Opava;746 01;None;;;;;;;;
30;Gymnázium sv. Edity Steinovej ;Charkovská 1;Košice;040 22;None;;;;;;;;
31;Gymnázium Angely Merici;Hviezdoslavova 10;Trnava;917 01;588032;588032;Gymnázium Angely Merici;GHvi10TT;Hviezdoslavova 10;Trnava;91701;sekretariat@gamtt.sk;207
32;Základná škola Krosnianska 4;Krosnianska 4;Košice;040 01;35546875;35546875;Základná škola;ZKros4KE;Krosnianska 4;Košice-Dargovských hrdino;04022;zs.k4ke@gmail.com;804
33;Cirevné gymnázium sv. Mikuláša;Plavnica 184;Plavnica;065 45;None;;;;;;;;
34;Univerzita Karlova, Matematicko-fyzikální fakulta;Ke Karlovu 3;Praha;121 16;None;;;;;;;;
35;Súkromné gmnázium Katkin Park 2;Katkin park 2;Košice;040 11;None;;;;;;;;
36;Gymnázium Lorencova 46;Lorencova 46;Krompachy;053 42;161021;161021;Gymnázium;GLor46SN;Lorencova 46;Krompachy;05342;gymkromp@gmail.com;810
37;Základná škola Slovenských partizánov;Partizánska 53;Považská Bystrica;017 01;None;;;;;;;;
38;Spojená škola Dominika Tatarku;Mládeže 7;Poprad;058 01;710261322;710261322;Spojená škola - Gym;SDomi7PP;Dominika Tatarku 4666/7;Poprad;05819;gpdt@stonline.sk;706
39;Základná škola Bruselská 18;Bruselská 18;Košice;04013;35540460;35540460;Základná škola;ZBru18KE;Bruselská 18;Košice-Sídlisko Ťahanovce;04013;zs.bruselska@stonline.sk;802
40;ZŠ Park Angelinum 8;Park Angelinum 8;Košice;04001;35540478;35540478;Základná škola;ZPark8KE;Park Angelinum 8;Košice-Staré Mesto;04001;zspa@zspa.sk;802
42;ZŠ Bernolákova 16;Bernolákova 16;Košice;040 11;35543019;35543019;Základná škola;ZBer16KE;Bernolákova 16;Košice-Západ;04011;zsberke@centrum.sk;803
43;Gymnázium Leonarda Stöckela;Jiráskova 12;Bardejov;085 01;160911;160911;Gymnázium;GJir12BJ;Jiráskova 12;Bardejov;08501;sekretariat@gymls-bj.vucpo.sk;701
44;Základná škola Ždaňa;Jarmočná 96;Ždaňa;044 11;35544279;35544279;Základná škola;ZJar96KS;Jarmočná 96;Ždaňa;04411;zszdana@centrum.sk;806
45;Základná škola kpt. J. Nálepku;Školská 2;Stupava;900 31;31773711;31773711;Základná škola;ZSkol2MA;Školská 2;Stupava;90031;skola.sekretariat@gmail.com;106
46;Základná škola Brodské;Školská 281;Brodské;908 85;37838512;37838512;Základná škola;ZSk281SI;Školská 281;Brodské;90885;zsbrodske@gmail.com;206
47;Základná škola Sokolíkova 2 ;Sokolíkova 2;Bratislava;841 01;36071021;36071021;Základná škola;ZSoko2BA;Sokolíkova 2;Bratislava-Dúbravka;84101;tajomnicka@zssokolikova.sk;104
48;Základná škola s materskou školou, Tajovského 2, Badín;Tajovského 2;Badín;976 32;35677813;35677813;Základná škola s MŠ;ZTajo2BB;Tajovského 2;Badín;97632;zsbadin@zsbadin.edu.sk;601
49;Gymnázium Pierra de Coubertina;Námestie SNP 9;Piešťany;921 01;160318;160318;Gymnázium P.Coubertina;GNamS9PN;Nám. SNP 9;Piešťany;92126;gypy@gypy.sk;204
50;Cirkevná základná škola sv. Gorazda Komenského 31;Komenského 495/31;Námestovo;029 01;None;;;;;;;;
51;Gymnázium A. Bernoláka;Lichnerova 69;Senec;903 01;160326;160326;Gymnázium A. Bernoláka;GLic69SC;Lichnerova 69;Senec;90301;riaditel@gab.sk;108
52;Základná škola Školská 2;Školská 2;Streda nad Bodrogom;076 31;35541164;35541164;Základná škola;ZSkol2TV;Školská 2;Streda nad Bodrogom;07631;admin@zsstreda.edu.sk;811
53;Súkromná základná škola Sabinov;Námestie slobody 100;Sabinov;083 01;42081602;42081602;Súkromná základná škola;SNa100SB;Námestie slobody 100;Sabinov;08301;silva@centrum.sk;708
54;Základná škola apoštola Pavla;Ul. J. Janošku 11;Liptovský Mikuláš; 031 01;None;;;;;;;;
55;Škola pre Mim. Nad. Deti a Gymnázium Skalická cesta 1;Skalická 1;Bratislava;831 02;None;;;;;;;;
56;Základná škola Bernolákova 21;Bernolákova 21;Prešov;080 01;42090741;42090741;Cirkevná ZŠ s MŠ;CBer21PO;Bernolákova 21;Prešov;08001;czsgojdic@gojdic.eu;707
57;Súkromná základná škola Dneperská 1;Dneperská 1;Košice;04012;35560347;35560347;Súkromná základná škola;SDnep1KE;Dneperská 1;Košice-Nad jazerom;04012;szsdneperska@gmail.com;805
59;Základná škola Kežmarská 30;Kežmarská 30;Košice;04011;35542624;35542624;Základná škola;ZKez30KE;Kežmarská 30;Košice-Západ;04011;zs@k30.sk;803
60;Základná škola Komenského 1;Komenského 1;Michalovce;071 01;None;;;;;;;;
61;Základná škola Komenského 33;Komenského 33;Námestovo;029 01;37810294;37810294;Základná škola;ZKom33NO;Komenského 495/33;Námestovo;02901;zskomnam@zskomnam.edu.sk;507
63;Súkromná základná škola Námestie slobody 100;Námestie slobody 100;Sabinov;083 01;42081602;42081602;Súkromná základná škola;SNa100SB;Námestie slobody 100;Sabinov;08301;silva@centrum.sk;708
64;Základná škola Námestie Š. Moyzesa 23;Námestie Š. Moyzesa 23;Banská Bystrica;974 01;None;;;;;;;;
66;Základná škola Polianska 1;Polianska 1;Košice;04001;35540486;35540486;Základná škola;ZPoli1KE;Polianska 1;Košice-Sever;04001;zspolianska@gmail.com;802
67;Gymnázium Mudroňova 20;Mudroňova 20;Prešov;08001;161101;161101;Gymnázium J. A. Raymana;GMud20PO;Mudroňova 20;Prešov;08001;info@gjar-po.sk;707
68;Súkromná základná škola Starozagorská 8;Starozagorská 8;Košice;04023;None;;;;;;;;
69;Spojená škola Dominika Tatarku ;Mládeže 7;Poprad;058 01;710261322;710261322;Spojená škola - Gym;SDomi7PP;Dominika Tatarku 4666/7;Poprad;05819;gpdt@stonline.sk;706
70;Spojená základná škola Slobody 1;Slobody 1;Košice;04011;35554304;35554304;Súkromná základná škola;SSlob1KE;Slobody 1;Košice-Západ;04011;skola@szsslobodyke.sk;803
71;Základná škola Školská 20;Školská 20;Margecany;055 01;35546328;35546328;Základná škola s MŠ;ZSko20GL;Školská 20;Margecany;05501;zssmsmargecany@gmail.com;801
73;Základná škola Šmeralova 25;Šmeralova 25;Prešov;080 01;36159034;36159034;Základná škola;ZSme25PO;Šmeralova 25;Prešov;08001;spravca@zssmeralpo.edu.sk;707
74;Základná škola Štefánikova 31;Štefánikova 31;Humenné;066 01;37874071;37874071;Základná škola;ZSte31HE;Štefánikova 31;Humenné;06601;zsjanasvermu@gmail.com;702
