1;Gymnázium Poštová 9;Poštová 9;Košice;042 52;160997;160997;Gymnázium;GPost9KE;Poštová 9;Košice-Staré Mesto;4252;skola@gympos.sk;802
221;Stredná odborná škola Pruské;Pruské 294;Pruské;018 52;159298;159298;Stredná odborná škola;SPr294IL;Pruské 294;Pruské;1852;info@sospruske.sk;302
222;Stredná odborná škola ;Pruské 294;Pruské;018 52;159298;159298;Stredná odborná škola;SPr294IL;Pruské 294;Pruské;1852;info@sospruske.sk;302
19;Gymnázium Párovská 1;Párovská 1;Nitra;949 01;160253;160253;Gymnázium;GParo1NR;Párovská 1;Nitra;95050;school@gpnr.sk;403
49;Gymnázium Pierra de Coubertina;Námestie SNP 9;Piešany;921 01;160318;160318;Gymnázium P.Coubertina;GNamS9PN;Nám. SNP 9;Piešany;92126;gypy@gypy.sk;204
51;Gymnázium A. Bernoláka;Lichnerova 69;Senec;903 01;160326;160326;Gymnázium A. Bernoláka;GLic69SC;Lichnerova 69;Senec;90301;riaditel@gab.sk;108
194;Gymnázium V. Mihálika;Kostolná 8;Sereï;926 01;160351;160351;Gymnázium V.Mihálika;GKost8GA;Kostolná 119/8;Sereï;92601;gymsered@zupa-tt.sk;202
218;Gymnázium Vojtecha Mihálika Sereï;Kostolná 119;Sereï;926 01;160351;160351;Gymnázium V.Mihálika;GKost8GA;Kostolná 119/8;Sereï;92601;gymsered@zupa-tt.sk;202
160;Piaristické gymnázium Jozefa Braneckého;Palackého 4;Trenèín;911 01;160458;160458;Gymnázium ¼udovítaŠtúra;G1maj2TN;1. mája 170/2;Trenèín;91135;vedenie@glstn.sk;309
228;Gymnázium Jána Hollého;Na hlinách 7279/30;Trnava;91701;160466;160466;Gymnázium J.Hollého;GNah30TT;Na hlinách 7279/30;Trnava;91701;gyjhtt@zupa-tt.sk;207
328;Gymnázium Andreja Kmea;Kolpašská 1738/9;Banská Štiavnica;969 17;160539;160539;Gymnázium A.K.;GKolp9BS;Kolpašská 1738/9;Banská Štiavnica;96917;schranka@gymbs.sk;602
170;Gymnázium Jána Chalupku;Štúrova 890/13;Brezno;977 01;160547;160547;Gymnázium J.CH.;GStu13BR;Štúrova 13;Brezno;97718;skola@gymbrezno.edu.sk;603
173;Gymnázium M. M. Hodu;Hodova 9;Liptovskı Mikuláš;031 36;160679;160679;Gymnázium M. M. Hodu;GMMHo9LM;M. M. Hodu 860/9;Liptovskı Mikuláš;3136;school@gymlm.sk;505
135;Gymnázium B. S. Timravy;Halièská cesta 9;Luèenec;984 03;160687;160687;Gymnázium B.S.T.;GHali9LC;Halièská cesta 9;Luèenec;98403;skola@gbstlc.sk;606
140;Gymnázium Viliama Paulinyho-Tótha;Malá hora 3;Martin;036 01 ;160695;160695;Gymnázium V.Paulinyho T;GMala3MT;Malá hora 3;Martin;3601;office@gymmt.sk;506
117;Gymnázium Augusta Horislava Škultétyho;Školská 21;Ve¾kı Krtíš;990 01;160709;160709;Gymnázium A.H.Š.;GSko21VK;Školská 21;Ve¾kı Krtíš;99001;gymvk@svsbb.sk;610
151;Gymnázium Vavrinca Benedikta Nedoerského;Matice slovenskej 16;Prievidza;971 01;160750;;;;;;;;
331;Gymnázium Zvolen;Hronská 3;Zvolen;96001;160865;160865;Gymnázium ¼.Š.;GHron3ZV;Hronská 1467/3;Zvolen;96049;ivetta.vidova@gymzv.sk;611
308;Gymnázium Ve¾ká Okruná 22;Ve¾ká okruná;ilina;010 01;160890;160890;Gymnázium;GVel22ZA;Ve¾ká okruná 22;ilina;1001;gvoza@gvoza.sk;511
43;Gymnázium Leonarda Stöckela;Jiráskova 12;Bardejov;085 01;160911;160911;Gymnázium;GJir12BJ;Jiráskova 12;Bardejov;8501;sekretariat@gymls-bj.vucpo.sk;701
209;Gymnázium Giraltovce;Dukelská 30;Giraltovce;087 01;160946;160946;Gymnázium;GDuk30SK;Dukelská 30;Giraltovce;8720;sekretariat@gym-giraltovce.vucpo.sk;712
299;Gymnázium armádneho generála Ludvíka Svobodu;Komenského;Humenné;066 01 ;160954;;;;;;;;
148;Gymnázium Pavla Országha Hviezdoslava;Hviezdoslavova 20;Kemarok;060 14;160962;;;;;;;;
28;Gymnázium M.R. Štefánika Nám. L. Novomeského 4;Nám. L. Novomeského 4;Košice;040 01;160971;160971;Gymnázium M.R.Štefánika;GNamL4KE;Nám. L. Novomeského 4;Košice-Staré Mesto;4224;skola@gmrske.sk;802
229;Gymnázium Milana Rastislava Štefánika;Námestie L. Novomeského 4;Košice;042 24;160971;;;;;;;;
25;Gymnázium a základná škola S. Máraiho s vjm;Kuzmányho 6;Košice;040 01;161004;161004;Gymnázium a ZŠ s VJM;GKuzm6KE;Kuzmányho 6;Košice-Staré Mesto;4174;skola@maraigimi.sk;802
36;Gymnázium Lorencova 46;Lorencova 46;Krompachy;053 42;161021;161021;Gymnázium;GLor46SN;Lorencova 46;Krompachy;5342;gymkromp@gmail.com;810
186;Gymnázium Lipany;Komenského 13;Lipany;082 71;161047;161047;Gymnázium;GKom13SB;Komenského 13;Lipany;8271;skola@gymlipany.edu.sk;708
15;Gymnázium Kukuèínova 1;Kukuèínova 4239/1;Poprad;058 01;161098;161098;Gymnázium;GKuku1PP;Kukuèínova 4239/1;Poprad;5839;sekretariat@gym-pp.vucpo.sk;706
16;Gymnázium J. A. Raymana;Mudroòova 20;Prešov;080 01;161101;161101;Gymnázium J. A. Raymana;GMud20PO;Mudroòova 20;Prešov;8001;info@gjar-po.sk;707
67;Gymnázium Mudroòova 20;Mudroòova 20;Prešov;8001;161101;161101;Gymnázium J. A. Raymana;GMud20PO;Mudroòova 20;Prešov;8001;info@gjar-po.sk;707
147;Gymnázium Konštantínova 2;Konštantínova 2;Prešov;080 01;161110;161110;Gymnázium;GKons2PO;Konštantínova 2;Prešov;8001;sekretariat@gymk2-po.vucpo.sk;707
202;Gymnázium P. J. Šafárika;Akademika Hronca 1 ;Roòava;048 01;161144;161144;Gymnázium P. J.Šafárika;GAkad1RV;Akademika Hronca 1;Roòava;4801;skola@gymrv.sk;808
163;Gymnázium Školská 7;Školská 7;Spišská Nová Ves;052 01;161195;161195;Gymnázium;GSkol7SN;Školská 7;Spišská Nová Ves;5201;skola@gymsnv.sk;810
198;Gymnázium Terézie Vansovej;17. novembra 6;Stará ¼ubovòa;064 01;161217;161217;Gymnázium T. Vansovej;G17no6SL;17. novembra 6;Stará ¼ubovòa;6401;gymnsl@stonline.sk;710
323;Gymnázium Komenského 32, Trebišov;Komenského 32;Trebišov;7501;161241;161241;Gymnázium;GKom32TV;Komenského 32;Trebišov;7501;skola@gymtv.sk;811
171;Spojená škola;Medvedzie 133/1;Tvrdošín;027 44;161519;161519;Spojená škola;SSidl1TS;Sídl. Medvedzie I. 133/1;Tvrdošín;2744;sekretariat@sstv.sk;510
