id,season_code,competition_id,year,school_year,start,end
3,0,0,39,2015/2016,2014-08-31 22:00:00+02:00,2014-12-30 23:00:00+01:00
4,0,0,32,2008/2009,2007-08-31 22:00:00+02:00,2007-11-30 23:00:00+01:00
5,1,0,32,2008/2009,2008-02-29 23:00:00+01:00,2008-06-30 22:00:00+02:00
6,0,0,33,2009/2010,2008-08-31 22:00:00+02:00,2008-11-30 23:00:00+01:00
7,1,0,33,2009/2010,2009-02-28 23:00:00+01:00,2009-06-30 22:00:00+02:00
8,0,0,34,2010/2011,2009-08-31 22:00:00+02:00,2009-11-30 23:00:00+01:00
9,1,0,34,2010/2011,2010-02-28 23:00:00+01:00,2010-06-30 22:00:00+02:00
10,0,0,35,2011/2012,2010-08-31 22:00:00+02:00,2010-11-30 23:00:00+01:00
11,1,0,35,2011/2012,2011-02-28 23:00:00+01:00,2011-06-30 22:00:00+02:00
12,0,0,36,2012/2013,2011-08-31 22:00:00+02:00,2011-11-30 23:00:00+01:00
13,1,0,36,2012/2013,2012-02-29 23:00:00+01:00,2012-06-30 22:00:00+02:00
14,0,0,37,2013/2014,2012-08-31 22:00:00+02:00,2012-11-30 23:00:00+01:00
15,1,0,37,2013/2014,2013-02-28 23:00:00+01:00,2013-06-30 22:00:00+02:00
16,0,0,38,2014/2015,2013-08-31 22:00:00+02:00,2013-11-30 23:00:00+01:00
17,1,0,38,2014/2015,2014-02-28 23:00:00+01:00,2014-06-30 22:00:00+02:00
18,1,0,39,2015/2016,2015-02-28 23:00:00+01:00,2015-06-30 22:00:00+02:00
19,0,2,25,2016/2017,2015-08-31 22:00:00+02:00,2015-12-31 23:00:00+01:00
20,0,0,40,2016/2017,2015-08-31 22:00:00+02:00,2015-12-31 22:59:00+01:00
21,0,1,29,2016/2017,2015-08-31 22:00:00+02:00,2015-12-30 23:00:00+01:00
22,1,1,29,2016/2017,2016-01-31 23:00:00+01:00,2016-06-29 22:00:00+02:00
23,1,2,25,2016/2017,2016-01-31 23:00:00+01:00,2016-06-29 22:00:00+02:00
24,1,0,40,2016/2017,2016-01-31 23:00:00+01:00,2016-06-29 22:00:00+02:00
25,0,0,41,2017/2018,2016-08-31 22:00:00+02:00,2017-01-31 22:59:00+01:00
26,0,1,30,2017/2018,2016-08-31 22:00:00+02:00,2016-12-30 23:00:00+01:00
27,0,2,26,2017/2018,2016-08-31 22:00:00+02:00,2016-12-30 23:00:00+01:00
28,1,2,26,2017/2018,2017-01-31 23:00:00+01:00,2017-06-29 22:00:00+02:00
29,1,1,30,2017/2018,2017-01-31 23:00:00+01:00,2017-06-29 22:00:00+02:00
30,1,0,41,2017/2018,2017-01-31 23:00:00+01:00,2017-06-30 21:59:00+02:00
