id,semester_id,order,deadline,sum_method
3,3,1,2014-10-20 20:00:00+02:00,series_STROM_sum_until_2021
4,3,2,2014-11-24 21:00:00+01:00,series_STROM_sum_until_2021
5,4,1,2007-10-14 22:00:00+02:00,series_STROM_4problems_sum
6,4,2,2007-11-18 23:00:00+01:00,series_STROM_4problems_sum
7,5,1,2008-03-05 23:00:00+01:00,series_STROM_4problems_sum
8,5,2,2008-04-20 22:00:00+02:00,series_STROM_4problems_sum
9,6,1,2008-10-26 23:00:00+01:00,series_STROM_4problems_sum
10,6,2,2008-11-23 23:00:00+01:00,series_STROM_4problems_sum
11,7,1,2009-03-15 23:00:00+01:00,series_STROM_4problems_sum
12,7,2,2009-04-19 22:00:00+02:00,series_STROM_4problems_sum
13,8,1,2009-10-19 21:59:00+02:00,series_STROM_4problems_sum
14,8,2,2009-11-16 22:59:00+01:00,series_STROM_4problems_sum
15,9,1,2010-03-15 22:59:00+01:00,series_STROM_4problems_sum
16,9,2,2010-04-19 21:59:00+02:00,series_STROM_4problems_sum
17,10,1,2010-11-30 23:00:00+01:00,series_STROM_sum_until_2021
18,10,2,2010-11-30 23:00:00+01:00,series_STROM_sum_until_2021
19,11,1,2011-06-30 22:00:00+02:00,series_STROM_sum_until_2021
20,11,2,2011-06-30 22:00:00+02:00,series_STROM_sum_until_2021
21,12,1,2011-10-24 20:00:00+02:00,series_STROM_sum_until_2021
22,12,2,2011-11-21 21:00:00+01:00,series_STROM_sum_until_2021
23,13,1,2012-06-30 22:00:00+02:00,series_STROM_sum_until_2021
24,13,2,2012-06-30 22:00:00+02:00,series_STROM_sum_until_2021
25,14,1,2012-10-15 20:00:00+02:00,series_STROM_sum_until_2021
26,14,2,2012-11-26 21:00:00+01:00,series_STROM_sum_until_2021
27,15,1,2013-03-25 21:00:00+01:00,series_STROM_sum_until_2021
28,15,2,2013-04-29 20:00:00+02:00,series_STROM_sum_until_2021
29,16,1,2013-11-30 23:00:00+01:00,series_STROM_sum_until_2021
30,16,2,2013-11-30 23:00:00+01:00,series_STROM_sum_until_2021
31,17,1,2014-06-30 22:00:00+02:00,series_STROM_sum_until_2021
32,17,2,2014-06-30 22:00:00+02:00,series_STROM_sum_until_2021
33,18,1,2015-03-30 21:59:59+02:00,series_STROM_sum_until_2021
34,18,2,2015-04-27 21:59:59+02:00,series_STROM_sum_until_2021
35,20,1,2015-10-12 20:00:00+02:00,series_STROM_sum_until_2021
36,20,2,2015-11-16 21:00:00+01:00,series_STROM_sum_until_2021
37,21,1,2015-10-12 18:00:00+02:00,series_Matik_sum
38,21,2,2015-11-23 19:00:00+01:00,series_Matik_sum
41,19,1,2015-10-12 18:00:00+02:00,series_Malynar_sum
42,19,2,2015-11-23 19:00:00+01:00,series_Malynar_sum
43,22,1,2016-03-21 19:00:00+01:00,series_Matik_sum
44,22,2,2016-04-25 18:00:00+02:00,series_Matik_sum
45,23,1,2016-03-21 19:00:00+01:00,series_Malynar_sum
46,23,2,2016-04-25 18:00:00+02:00,series_Malynar_sum
47,24,1,2016-03-21 21:00:00+01:00,series_STROM_sum_until_2021
48,24,2,2016-05-02 20:00:00+02:00,series_STROM_sum_until_2021
49,25,1,2016-10-10 20:00:00+02:00,series_STROM_sum_until_2021
50,25,2,2016-11-21 21:00:00+01:00,series_STROM_sum_until_2021
51,26,1,2016-10-17 18:00:00+02:00,series_Matik_sum
52,26,2,2016-11-28 19:00:00+01:00,series_Matik_sum
