code,district,name,street,city,zip_code,email,abbreviation
030775396,101,SPŠ strojnícka,Fajnorovo nábrežie 5,Bratislava-Staré Mesto,81475,fajnorka@fajnorka.sk,SFajn5BA
030815339,101,SOŠ elektr. Frassatiho,Vazovova 12,Bratislava-Staré Mesto,81107,csose@csose.sk,SVaz12BA
030775353,101,SPŠ elektrotechnická,Zochova 9,Bratislava-Staré Mesto,81103,office@zochova.sk,SZoch9BA
030795290,102,Súkromná SOŠ,Bieloruská 1,Bratislava-Podunajské Bis,82106,skola@gastroskola.sk,SBiel1BA
036060674,102,Súkr. SOŠ pedagogická,Bieloruská 1,Bratislava-Podunajské Bis,82106,ssps.straskova@gmail.com,SBiel1BA
031787517,102,Súkr. hotelová akadémia,Biskupická 21,Bratislava-Podunajské Bis,82106,skola1@shahagma.sk,SBis21BA
710213530,102,Súkr. obchodná akadémia,Dudvážska 6,Bratislava-Podunajské Bis,82107,profikamo@dudva.sk,SDudv6BA
042253888,102,SPŠSaG,Drieňová 35,Bratislava-Ružinov,82664,karol.dungel@gmail.com,SDri35BA
000681881,102,Súkr. SOŠ,Exnárova 20,Bratislava-Ružinov,82601,gibej@sous-ruzinov.sk,SExn20BA
031792952,102,Súkromná ŠUP,Ivanská cesta 21,Bratislava-Ružinov,82104,ssus@ssus.sk,SIva21BA
042128790,102,SOŠ technológií a remes,Ivanská cesta 21,Bratislava-Ružinov,82375,sou@sou.sk,SIva21BA
031797920,102,SOŠ dopravná,Kvačalova 20,Bratislava-Ružinov,82108,sekretariat@sosdba.sk,SKva20BA
030775311,102,SPŠ dopravná,Kvačalova 20,Bratislava-Ružinov,82108,spsdkvac@ba.telecom.sk,SKva20BA
017327652,102,Obchodná akadémia,Nevädzová 3,Bratislava-Ružinov,82007,oanba@oanba.sk,ONeva3BA
030868645,102,Súkr. ped. a soc. akad,Ružová Dolina 29,Bratislava-Ružinov,82109,profkreatis@profkreatis.sk,SRuz29BA
000893463,102,SOŠ obch.a služieb,Sklenárova 1,Bratislava-Ružinov,82109,souo-sj@stonline.sk,SSkle1BA
017314909,102,Škola umeleckého priemy,Sklenárova 7,Bratislava-Ružinov,82489,skola@zsssvba.sk,ŠSkle7BA
017053871,102,SOŠ kaderníctva a vizáž,Svätoplukova 2,Bratislava-Ružinov,82108,office@beautycare-study.sk,SSvat2BA
030866499,102,Spojená škola,Tokajícka 24,Bratislava-Ružinov,82103,skola@dizajngym.sk,STok24BA
042253900,102,SOŠ chemická,Vlčie hrdlo 50,Bratislava-Ružinov,82107,sosch@sosch.sk,SVlc50BA
000607304,102,SZŠ,Záhradnícka 44,Bratislava-Ružinov,82108,skola@szsbaza.sk,SZah44BA
031780466,103,Hotelová akadémia,Mikovíniho 1,Bratislava-Nové Mesto,83102,zha@zha.sk,HMiko1BA
017314895,103,SOŠ beauty služieb,Račianska 105,Bratislava-Nové Mesto,83102,riaditel@sos-racianska.sk,SRa105BA
030775418,103,Obchodná akadémia,Račianska 107,Bratislava-Nové Mesto,83102,skola.oarba@gmail.com,ORa107BA
000894915,103,SOŠ polygrafická,Račianska 190,Bratislava-Nové Mesto,83526,skola@polygraficka.sk,SRa190BA
030792975,103,Súkromná SOŠ HOST,Riazanská 75,Bratislava-Nové Mesto,83103,skolahost@stonline.sk,SRia75BA
017055415,103,SOŠ-IT,Hlinícka 1,Bratislava-Rača,83152,sositba@sositba.sk,SHlin1BA
030775400,103,SOŠ  masmed.a inf. št.,Kadnárova 7,Bratislava-Rača,83414,riaditel@sosmis.sk,SKadn7BA
000893471,103,SOŠ - HSaO,Na pántoch 9,Bratislava-Rača,83106,skola@sos-panty.sk,SNapa9BA
000893161,103,SOŠ elektrotechnická,Rybničná 59,Bratislava-Vajnory,83107,rsose@sose.sk,SRyb59BA
000891657,104,Súkr. SOŠ Duálna akadém,Jána Jonáša 5,Bratislava-Devínska Nová,84306,skola@sosaba.sk,SJana5BA
030775361,104,SOŠ pedagogická,Bullova 2,Bratislava-Dúbravka,84011,psabullova2@pobox.sk,SBull2BA
017319161,104,SPŠ elektrotechnická,Karola Adlera 5,Bratislava-Dúbravka,84102,office@adlerka.sk,SKaro5BA
030804825,104,Súkr. SOŠ veterinárna,Pod brehmi 6/A,Bratislava-Dúbravka,84103,info@veterinarnaskola.sk,SPodb6BA
030775329,104,Škola umeleckého priemy,Dúbravská cesta 11,Bratislava-Karlova Ves,84532,suvba@centrum.sk,ŠDub11BA
030775434,105,Obchodná akadémia,Dudova 4,Bratislava-Petržalka,85102,sekretariat@oadudova.sk,ODudo4BA
017054281,105,SOŠ,Farského 9,Bratislava-Petržalka,85101,farskeho@farskeho.sk,SFars9BA
030775426,105,Obchodná akadémia,Hrobákova 11,Bratislava-Petržalka,85102,oa@oaikba.sk,OHro11BA
017327661,105,SPŠ elektrotechnická,Hálova 16,Bratislava-Petržalka,85101,skola@spsehalova.sk,SHal16BA
036070793,105,Súkr. obchodná akadémia,Kremnická 26,Bratislava-Petržalka,85101,sekretariat@ipgymnazium.sk,SKre26BA
030849934,105,Súkromná SOŠ,Lachova 1,Bratislava-Petržalka,85103,skola@jss.sk,SLach1BA
042182760,105,S-športová SOŠ,M. C. Sklodowskej 1,Bratislava-Petržalka,85101,taj.skolysport@gmail.com,SMCSk1BA
017327717,105,SOŠ podnikania,Strečnianska 20,Bratislava-Petržalka,85105,skola@sosznieba.edu.sk,SStr20BA
031793185,105,SZŠ,Strečnianska 20,Bratislava-Petržalka,85105,szs@szsba.sk,SStr20BA
036068284,105,Súkr. ŠUP,Vlastenecké námestie 1,Bratislava-Petržalka,85101,uat@uat.sk,SVlas1BA
042254647,105,Súkromná SOŠOOaM,Vranovská 4,Bratislava-Petržalka,85101,taj.skolyoom@gmail.com,SVran4BA
